Date,Site,Block,SubBlock,Plot,Subplot,SeedingStrat,Irrigation,GrassOrig,ShrubOrig,GrassDens2014,GrassDens2016,GrassDensNoSPAI2017,GrassDens2017,ShrubDens2016,AllShrubSoField2017,WeedDens2016,WeedDens2017,WeedHeight2016
14-Dec,North,1,1-Fall-Spring,1,1A,I,Fall-Spring,Wild-collected,Distant,0,-,-,-,-,-,-,-,-
14-Dec,North,1,1-Fall-Spring,1,1B,I,Fall-Spring,Wild-collected,Local,0,-,-,-,-,-,-,-,-
14-Dec,North,1,1-Fall-Spring,2,2A,I,Fall-Spring,Commercial,Local,0.333333333,-,-,-,-,-,-,-,-
14-Dec,North,1,1-Fall-Spring,2,2B,I,Fall-Spring,Commercial,Distant,1,-,-,-,-,-,-,-,-
14-Dec,North,1,1-Fall-Spring,3,3A,II,Fall-Spring,Wild-collected,Distant,0,-,-,-,-,-,-,-,-
14-Dec,North,1,1-Fall-Spring,3,3B,II,Fall-Spring,Wild-collected,Local,0.666666667,-,-,-,-,-,-,-,-
14-Dec,North,1,1-Fall-Spring,4,4A,II,Fall-Spring,Commercial,Local,1,-,-,-,-,-,-,-,-
14-Dec,North,1,1-Fall-Spring,4,4B,II,Fall-Spring,Commercial,Distant,2.333333333,-,-,-,-,-,-,-,-
14-Dec,North,1,1-Fall-Spring,5,5A,III,Fall-Spring,-,Local,0,-,-,-,-,-,-,-,-
14-Dec,North,1,1-Fall-Spring,5,5B,III,Fall-Spring,-,Distant,0,-,-,-,-,-,-,-,-
14-Dec,North,1,1-Fall-Spring,6,6A,IV,Fall-Spring,-,Distant,0,-,-,-,-,-,-,-,-
14-Dec,North,1,1-Fall-Spring,6,6B,IV,Fall-Spring,-,Local,0,-,-,-,-,-,-,-,-
14-Dec,North,1,1-Fall-Spring,7,7A,V,Fall-Spring,-,-,0,-,-,-,-,-,-,-,-
14-Dec,North,1,1-Fall-Spring,7,7B,V,Fall-Spring,-,-,0,-,-,-,-,-,-,-,-
14-Dec,North,1,1-Spring,1,1A,I,Spring,Wild-collected,Distant,0,-,-,-,-,-,-,-,-
14-Dec,North,1,1-Spring,1,1B,I,Spring,Wild-collected,Local,0,-,-,-,-,-,-,-,-
14-Dec,North,1,1-Spring,2,2A,I,Spring,Commercial,Local,0,-,-,-,-,-,-,-,-
14-Dec,North,1,1-Spring,2,2B,I,Spring,Commercial,Distant,0,-,-,-,-,-,-,-,-
14-Dec,North,1,1-Spring,3,3A,II,Spring,Wild-collected,Distant,0,-,-,-,-,-,-,-,-
14-Dec,North,1,1-Spring,3,3B,II,Spring,Wild-collected,Local,0,-,-,-,-,-,-,-,-
14-Dec,North,1,1-Spring,4,4A,II,Spring,Commercial,Local,0,-,-,-,-,-,-,-,-
14-Dec,North,1,1-Spring,4,4B,II,Spring,Commercial,Distant,0.333333333,-,-,-,-,-,-,-,-
14-Dec,North,1,1-Spring,5,5A,III,Spring,-,Local,0,-,-,-,-,-,-,-,-
14-Dec,North,1,1-Spring,5,5B,III,Spring,-,Distant,0,-,-,-,-,-,-,-,-
14-Dec,North,1,1-Spring,6,6A,IV,Spring,-,Distant,0,-,-,-,-,-,-,-,-
14-Dec,North,1,1-Spring,6,6B,IV,Spring,-,Local,0,-,-,-,-,-,-,-,-
14-Dec,North,1,1-Spring,7,7A,V,Spring,-,-,0,-,-,-,-,-,-,-,-
14-Dec,North,1,1-Spring,7,7B,V,Spring,-,-,0,-,-,-,-,-,-,-,-
14-Dec,North,2,2-Fall-Spring,1,1A,I,Fall-Spring,Wild-collected,Distant,0,-,-,-,-,-,-,-,-
14-Dec,North,2,2-Fall-Spring,1,1B,I,Fall-Spring,Wild-collected,Local,0,-,-,-,-,-,-,-,-
14-Dec,North,2,2-Fall-Spring,2,2A,I,Fall-Spring,Commercial,Local,0,-,-,-,-,-,-,-,-
14-Dec,North,2,2-Fall-Spring,2,2B,I,Fall-Spring,Commercial,Distant,0.333333333,-,-,-,-,-,-,-,-
14-Dec,North,2,2-Fall-Spring,3,3A,II,Fall-Spring,Wild-collected,Distant,1,-,-,-,-,-,-,-,-
14-Dec,North,2,2-Fall-Spring,3,3B,II,Fall-Spring,Wild-collected,Local,0,-,-,-,-,-,-,-,-
14-Dec,North,2,2-Fall-Spring,4,4A,II,Fall-Spring,Commercial,Local,0.333333333,-,-,-,-,-,-,-,-
14-Dec,North,2,2-Fall-Spring,4,4B,II,Fall-Spring,Commercial,Distant,0.333333333,-,-,-,-,-,-,-,-
14-Dec,North,2,2-Fall-Spring,5,5A,III,Fall-Spring,-,Local,0,-,-,-,-,-,-,-,-
